license,name,entity,estab_type,address,city,zip,borough,sqft,size_class,is_supermarket,lon,lat
721441,NATURE'S VIDA,NATURE'S VIDA CORP,AC,53-05 ROOSEVELT AVE,WOODSIDE,11377,Queens,1200,Corner store or specialty,True,-73.91127,40.74454
721469,PRUZZOS SUPERMARKET,PRUZZOS SUPERMARKET CORP,AC,2937 WESTCHESTER AVE,BRONX,10461,Bronx,5000,Standard supermarket,True,-73.83262,40.84676
721484,LA FLOR DEL PODER,LA FLOR DEL PODER GROCERY STORE INC,AC,1662 CONEY ISLAND AVE ####,BROOKLYN,11230,Brooklyn,,Size unknown,True,-73.96367,40.61686
721516,SOTO GROCERY & DELI #2,SOTO GROCERY & DELI #2 INC,AC,3308 BAILEY AVE. ###,BRONX,10463,Bronx,,Size unknown,True,-73.90096,40.87987
721517,FOOD U DESIRE 2,FOOD U DESIRE 2 CORP,AC,423 7TH AVENUE,BROOKLYN,11215,Brooklyn,2000,Corner store or specialty,True,-73.98416,40.66378
721530,166TH DELI AND GROCERY,166TH DELI AND GROCERY INC,AC,182 B EAST 166 STREET,BRONX,10456,Bronx,1600,Corner store or specialty,True,-73.91883,40.8316
721535,LOS HERMANOS CUAHUIZO FRUIT MARKET,LOS HERMANOS CUAHUIZO FRUIT MARKET CORP,AC,115-01 JAMAICA AVE,RICHMOND HILL,11418,Queens,1000,Corner store or specialty,True,-73.83383,40.69882
721538,JOES GOURMET DELI,JOES GOURMET DELI INC,AC,920 COLUMBUS AVENUE,NEW YORK,10025,Manhattan,600,Corner store or specialty,True,-73.9633,40.79867
721545,MEXICAN GROCERY & DELI,MEXICAN GROCERY & DELI CORP,AC,326 E 2ND STREET,BROOKLYN,11218,Brooklyn,600,Corner store or specialty,True,-73.97839,40.64353
721557,STEPHEN DELI 1,STEPHEN DELI 1 CORP,AC,61-25 WOODHAVEN BLVD. ###,REGO PARK,11374,Queens,1000,Corner store or specialty,True,-73.87096,40.72815
721561,ALIBABA HALAL MEAT,ALIBABA HALAL MEAT INC,AC,407 DITMAS AVE,BROOKLYN,11218,Brooklyn,450,Corner store or specialty,True,-73.97476,40.63589
721569,LA LIGA DELI FOOD,LA LIGA DELI FOOD CORP,AC,350 EAST 149TH STREET,BRONX,10451,Bronx,3000,Small supermarket or grocer,True,-73.91969,40.8166
721590,TKRC PRODUCTIONS,TKRC PRODUCTIONS LLC,AC,620-630 GERARD AVENUE ####,BRONX,10451,Bronx,10000,Large supermarket,True,-73.92838,40.82121
721625,DOLLAR TREE #05774,DOLLAR TREE STORES INC,A,2026 WESTCHESTER AVENUE,BRONX,10462,Bronx,10000,Other licensed food retailer,False,-73.85632,40.83372
721628,POSEIDON NY,POSEIDON NY LLC,ADK,8680 18TH AVE,BROOKLYN,11214,Brooklyn,5000,Standard supermarket,True,-74.00428,40.60571
721633,SUSHI NARA EXPRESS,SUSHI MARU EXPRESS INC,AC,1066 3RD AVE ####,NEW YORK,10065,Manhattan,150,Other licensed food retailer,False,-73.96454,40.76431
721643,H & Y FRUIT AND VEGETABLES,H & Y FRUIT AND VEGETABLES CORP,AC,156 E 188TH STREET,BRONX,10468,Bronx,,Size unknown,True,-73.89841,40.86167
721644,TOP CHOICE MEAT MARKET,TOP CHOICE MEAT MARKET CORP,AC,3600 WHITE PLAINS ROAD,BRONX,10467,Bronx,2200,Corner store or specialty,True,-73.86509,40.87929
721649,FARM COUNTRY,FIRST AVENUE MARKET INC,AC,2076 FIRST AVENUE,NEW YORK,10029,Manhattan,,Size unknown,True,-73.93936,40.79061
